,Rochester,Buffalo,Syracuse,Albany,Ithaca,Binghamton,Niagara Falls,New York City,Yonkers,Schenectady,Saratoga Springs,White Plains,Newburgh,Lexington,Huntington,New Rochelle,Fire Island,Cold Spring,Woodbury,Skaneateles,Lake Placid,Watkins Glen,Farmingdale,Riverhead,Smithtown,Great Neck,Oyster Bay,Sag Harbor,Poughkeepsie,Troy
Rochester,0,73.3,86.9,226,89.7,161,86.7,333,338,209,220,333,299,237,372,313,393,276,296,70,278,81.2,372,340,384,356,368,435,302,230
Buffalo,73.3,0,152,291,155,202,20.9,381,379,274,200,373,339,302,413,388,434,348,348,135,343,146,412,434,406,396,409,475,330,295
Syracuse,86.9,152,0,148,54,74,164,250,251,130,165,246,212,158,286,261,307,221,209,22,197,91,285,324,175,269,220,348,150,151
Albany,226,291,148,0,165,142,302,150,144,19,31,145,90,65,176,153,197,99,103,167,140,215,175,214,150,159,171,238,80,7
Ithaca,89.7,155,54,165,0,55,165,225,227,125,188,222,188,133,240,231,283,175,185,39,254,24,261,260,273,245,257,275,202,169
Binghamton,161,202,74,142,55,0,213.4,177,183,140,164,177,144,109,215,192,235,120,141,71,267,78,213,252,225,197,209,230,158,145
Niagara Falls,86.7,20.9,164,302,165,213.4,0,400,382,285,291,370,374,312,400,423,469,382,350,145,353,157,447,400,360,431,444,510,275,305
New York City,333,381,250,150,225,177,400,0,16,162,181,26,63,132,36,22,60,56,55,246,286,254,36,75,48,18,32,100,80,154
Yonkers,338,379,251,144,227,183,382,16,0,158,178,13,55,129,43,9,64,43,47,249,283,257,42,81,55,26,39,106,67,151
Schenectady,209,274,130,19,125,140,285,162,158,0,24,152,104,70,190,167,211,114,117,150,129,205,189,228,201,173,186,252,75,15
Saratoga Springs,220,200,165,31,188,164,291,181,178,24,0,171,100,98,208,186,230,132,170,161,106,223,208,247,220,192,204,271,150,28
White Plains,333,373,246,145,222,177,370,26,13,152,171,0,50,124,46,10,68,48,42,243,277,252,46,85,58,30,43,110,59,146
Newburgh,299,339,212,90,188,144,374,63,55,104,100,50,0,75,92,69,113,13,13,208,229,216,91,130,103,75,87,154,18,97
Lexington,237,302,158,65,133,109,312,132,129,70,98,124,75,0,161,138,182,85,88,154,204,182,160,199,172,144,157,224,65,72
Huntington,372,413,286,176,240,215,400,36,43,190,208,46,92,161,0,38,30,78,85,286,320,294,12,45,16,24,8,70,103,188
New Rochelle,313,388,261,153,231,192,423,22,9,167,186,10,69,138,38,0,59,46,46,253,287,262,37,76,49,21,34,101,72,155
Fire Island,393,434,307,197,283,235,469,60,64,211,230,68,113,182,30,59,0,101,107,308,342,316,23,51,27,46,40,73,125,210
Cold Spring,276,348,221,99,175,120,382,56,43,114,132,48,13,85,78,46,101,0,22,217,238,227,225,119,92,64,76,143,22,106
Woodbury,296,348,209,103,185,141,350,55,47,117,170,42,13,88,85,46,107,22,0,206,242,214,78,50,90,62,75,142,31,170
Skaneateles,70,135,22,167,39,71,145,246,249,150,161,243,208,154,286,253,308,217,206,0,217,61,282,321,294,266,278,345,224,171
Lake Placid,278,343,197,140,254,267,353,286,283,129,106,277,229,204,320,287,342,238,242,217,0,282,313,352,325,297,310,377,219,186
Watkins Glen,81.2,146,91,215,24,78,157,254,257,205,223,252,216,182,294,262,316,227,214,61,282,0,291,260,303,275,287,354,232,219
Farmingdale,372,412,285,175,261,213,447,36,42,189,208,46,91,160,12,37,23,225,78,282,313,291,0,48,22,23,16,70,103,188
Riverhead,340,434,324,214,260,252,400,75,81,228,247,85,130,199,45,76,51,119,50,321,352,260,48,0,33,62,55,28,141,226
Smithtown,384,406,175,150,273,225,360,48,55,201,220,58,103,172,16,49,27,92,90,294,325,303,22,33,0,35,29,58,115,200
Great Neck,356,396,269,159,245,197,431,18,26,173,192,30,75,144,24,21,46,64,62,266,297,275,23,62,35,0,15,87,87,172
Oyster Bay,368,409,220,171,257,209,444,32,39,186,204,43,87,157,8,34,40,76,75,278,310,287,16,55,29,15,0,80,99,184
Sag Harbor,435,475,348,238,275,230,510,100,106,252,271,110,154,224,70,101,73,143,142,345,377,354,70,28,58,87,80,0,167,252
Poughkeepsie,302,330,150,80,202,158,275,80,67,75,150,59,18,65,103,72,125,22,31,224,219,232,103,141,115,87,99,167,0,86
Troy,230,295,151,7,169,145,305,154,151,15,28,146,97,72,188,155,210,106,170,171,186,219,188,226,200,172,184,252,86,0